"","Channel","Basophil","B Cell","CD4+ T Cell","CD8+ T Cell","CD14+ Monocyte","CD16+ Monocyte","CD16- NK Cell","CD141+ Conventional Dendritic Cell","Granulocyte","Myeloid_unassigned","Root_unassigned","T Cell_unassigned"
"1","CD3",0.102162124017865,0.121580303578459,0.784510004559415,0.802133637986608,0.140352833757066,0.224194844112461,0.128924489398038,0.158962927498516,0.080588066059906,0.150844595477926,0.153078444801477,0.791079222483843
"2","CD4",0.0318373356852795,0.110463698532749,0.629543682490009,0.0405122600888879,0.0856223975027714,0.125388587758181,0.018022785973193,0.149446290529268,0.0247886607507974,0.097088569851778,0.114518458869305,0.0691614389676801
"3","CD8a",0.048529559734856,0.119026733546174,0.0722672962964239,0.705561878883278,0.0263298032583713,0.177691625435009,0.0684016699321189,0.0455238430708323,0.0427610477215195,0.0430735752399364,0.0732314980067591,0.147295087628591
"4","CD11c",0.285036381159099,0.254385859109598,0.112471329783503,0.178216281904011,0.532886771793952,0.574039652453704,0.41593414112449,0.666235784240088,0.346202899613824,0.582832377506187,0.488602389649996,0.238461768191664
"5","CD14",0.100082729841622,0.101040113079336,0.103544968034526,0.108571037964473,0.646120604467069,0.230639375693807,0.0849622727455047,0.248377938497801,0.0635613350392505,0.394622420823852,0.138689234797764,0.105755819929008
"6","CD16",0.249025998797998,0.525748898694686,0.191580936482058,0.20430294559352,0.169696830220773,0.66309503560599,0.141017556813555,0.238847235673686,0.635087755540204,0.360089219002763,0.492473441788741,0.196045498608079
"7","CD19",0.0423027892001567,0.530039707044161,0.0297581983610317,0.0431925089344631,0.0233764012595129,0.0854803190516122,0.0260872663994204,0.0388143318431747,0.0146411028585944,0.0274144926674371,0.0770110675531604,0.0362394218082604
"8","CD20",0.125962342064904,0.193025802472091,0.132415475813073,0.141074072008907,0.128681206846645,0.347467291022647,0.0951573121868178,0.145556235185517,0.298057003402445,0.19229226917186,0.24762850760755,0.128647283148915
"9","CD23",0.163931447310016,0.0740943142122613,0.0679345375264722,0.0695529393364276,0.0642781346172932,0.14808835884113,0.0506744454911397,0.0748795658253123,0.0799705952314138,0.0852756016990283,0.123915472168965,0.0637839629532271
"10","CD27",0.0701445470152195,0.191665991167695,0.544638356455183,0.5328920462889,0.0702669947149166,0.149488305577259,0.430327808569004,0.0851479148891062,0.0512242117894409,0.0859142402947125,0.0869261236497797,0.365378702260372
"11","CD32",0.436083064514637,0.145439845623656,0.0391684904311023,0.100868765661967,0.241074092097622,0.29429568823233,0.02939090684501,0.302656707598187,0.156191399267093,0.308316757295489,0.231861203936435,0.0559700646062017
"12","CD38",0.522733616300074,0.245972183203869,0.223376407508841,0.241742749597862,0.443387614807142,0.47815093386769,0.494594846341716,0.369219635701037,0.29230408030602,0.411108996729731,0.282282962517044,0.249679619005418
"13","CD45RA",0.124855241642135,0.191078570987123,0.259094759794069,0.587805936333941,0.208462078473984,0.586484730176596,0.500855258195735,0.319514293478966,0.146857231850026,0.26100823042114,0.448967621022783,0.559192679231624
"14","CD56",0.159645204573437,0.107848431650709,0.0969362490072903,0.0864164033882586,0.146005868887997,0.302071080083551,0.571035239789923,0.181023786494005,0.121201275487249,0.175168281477157,0.158048028227464,0.0975866718747405
"15","CD61",0.401921648547347,0.22669774097636,0.144536639332413,0.142076242866193,0.167855604723234,0.331472553917718,0.0725535437564245,0.173246159734594,0.295398122690749,0.22346383317233,0.261901608121473,0.133603171799083
"16","CD63",0.383027419461455,0.0598750888628575,0.0870650340214724,0.100446553076915,0.152292504364226,0.170756869545879,0.106523272118221,0.149530042535784,0.121102244435637,0.180832105974277,0.132432081826509,0.121558324740922
"17","CD66a",0.313035448676866,0.602688494995642,0.214767664425069,0.206401601246123,0.205279781902839,0.67929092591102,0.147561320896399,0.216294510377151,0.72470708828401,0.383405443099439,0.467137522579951,0.194118419814404
"18","CD66b",0.19561016652104,0.330697032588152,0.157857357693805,0.15247522758758,0.169377407737878,0.440478220183146,0.124876006193914,0.183438307943549,0.523695060833178,0.257161346155817,0.334290301810241,0.155531465046522
"19","CD123",0.761837788894225,0.0598430283641679,0.0710613699209517,0.0663870603264874,0.109825861238015,0.259008501152298,0.0554542301101911,0.265636786672684,0.0569993469902514,0.18368237548823,0.408357561869295,0.0594141897459183
"20","CD141",0.071561055226417,0.141924552331683,0.0615949245500645,0.105154377388091,0.131275641284041,0.271479357434728,0.0542695717820683,0.444376208502123,0.0555976959843066,0.16657625374351,0.228665390591056,0.0819558161411292
"21","HLADR",0.0587797389471051,0.0480557078167139,0.0358583027316585,0.038300865298743,0.448508719162687,0.355145911064993,0.151343340731232,0.752729362226984,0.0297657043603865,0.546809712673389,0.351710090392035,0.0377605708064979
